dependency,window,signal_target,dependency_model,signal_model,Accuracy,BalancedAccuracy,PrecisionDown,RecallDown,F1Down,AUC,ExitRate,AvgReturnFlagged,AvgReturnClear,n_test
corr_BTC-USD_^IXIC,90,stress_^IXIC,AR1,GBM_Cls,0.8337273443656422,0.5062813003989475,0.24,0.030303030303030304,0.053811659192825115,0.5258844278452122,0.019700551615445233,-0.0026770832574433516,0.0005052625891979529,1269
corr_BTC-USD_^IXIC,90,stress_^IXIC,AR1,RF_Cls,0.8337273443656422,0.4980477039300569,0.11764705882352941,0.010101010101010102,0.018604651162790697,0.5243376812004262,0.013396375098502758,0.0009100915646938064,0.00043622046559614613,1269
corr_BTC-USD_GLD,14,stress_GLD,AR1,Logit,0.7256505576208179,0.4982697088606498,0.14767932489451477,0.17326732673267325,0.15945330296127563,0.49460772848938434,0.1762081784386617,0.0009328380605950692,0.0007175229920542378,1345
corr_BTC-USD_GLD,14,stress_GLD,AR1,GBM_Cls,0.8446096654275093,0.5030512893809066,0.23076923076923078,0.01485148514851485,0.027906976744186046,0.49676030595185505,0.009665427509293681,-0.001388287477237315,0.0007763857603312403,1345
corr_BTC-USD_GLD,14,stress_GLD,AR1,RF_Cls,0.8453531598513011,0.49941313028940687,0.125,0.0049504950495049506,0.009523809523809525,0.49991770830626364,0.005947955390334572,-0.0010549729693166874,0.0007662960952218851,1345
corr_BTC-USD_GLD,30,stress_GLD,AR1,Logit,0.7246049661399548,0.4840685729532619,0.12556053811659193,0.1407035175879397,0.13270142180094788,0.49409881264730726,0.16779533483822423,0.0010906297735862418,0.0007142181856071027,1329
corr_BTC-USD_GLD,30,stress_GLD,AR1,RF_Cls,0.8495109104589917,0.5016276070618579,0.3333333333333333,0.005025125628140704,0.009900990099009901,0.4864677369146618,0.002257336343115124,0.0011225101398066328,0.0007765974527690554,1329
corr_BTC-USD_GLD,30,stress_GLD,AR1,GBM_Cls,0.8382242287434161,0.49499043892026506,0.05555555555555555,0.005025125628140704,0.009216589861751152,0.5032552141237159,0.013544018058690745,0.004297217850053139,0.0007290509774906415,1329
corr_BTC-USD_GLD,60,stress_GLD,AR1,Logit,0.6974595842956121,0.5100980052281948,0.1598639455782313,0.24352331606217617,0.19301848049281314,0.49389575466836566,0.22632794457274827,0.0009687679408938474,0.0008106840436166622,1299
corr_BTC-USD_GLD,60,stress_GLD,AR1,GBM_Cls,0.8375673595073133,0.49827834983931263,0.125,0.015544041450777202,0.027649769585253458,0.4943642309025663,0.018475750577367205,0.00354297451394148,0.0007957049804885813,1299
corr_BTC-USD_GLD,60,stress_GLD,AR1,RF_Cls,0.8498845265588915,0.5012344348771187,0.25,0.0051813471502590676,0.01015228426395939,0.49355376701739917,0.003079291762894534,-0.003706536379819,0.0008605261652330601,1299
corr_BTC-USD_GLD,90,stress_GLD,AR1,Logit,0.7257683215130024,0.5156797229403444,0.17083333333333334,0.21578947368421053,0.19069767441860466,0.48513731037510366,0.18912529550827423,0.0007311405019939644,0.0008453437662874705,1269
corr_BTC-USD_GLD,90,stress_GLD,AR1,RF_Cls,0.8423955870764381,0.4997024535388518,0.14285714285714285,0.010526315789473684,0.0196078431372549,0.46129457099653676,0.01103230890464933,0.0016735015367385865,0.0008142656848398551,1269
corr_BTC-USD_GLD,90,stress_GLD,AR1,GBM_Cls,0.8400315208825847,0.4939759036144578,0.0,0.0,0.0,0.477454758304473,0.01024428684003152,0.0014264018783311616,0.0008175073499761571,1269
corr_BTC-USD_SLV,14,stress_SLV,AR1,Logit,0.6743494423791822,0.5089512217291785,0.16863905325443787,0.26635514018691586,0.20652173913043478,0.49112934546386044,0.2513011152416357,0.0009761903183116289,0.001036853313063719,1345
corr_BTC-USD_SLV,14,stress_SLV,AR1,GBM_Cls,0.8349442379182156,0.5002520307064297,0.16666666666666666,0.009345794392523364,0.017699115044247787,0.5146012543692209,0.008921933085501859,0.005635823718985016,0.0009800703144911293,1345
corr_BTC-USD_SLV,14,stress_SLV,AR1,RF_Cls,0.8319702602230483,0.4965893221613492,0.07142857142857142,0.004672897196261682,0.008771929824561403,0.52426105423205,0.010408921933085501,0.010442669244354627,0.0009225140829628335,1345
corr_BTC-USD_SLV,30,stress_SLV,AR1,Logit,0.5966892400300978,0.5051959657857781,0.16182572614107885,0.37142857142857144,0.2254335260115607,0.5096855185327035,0.36267870579382994,0.001756093206758073,0.00067388954460177,1329
corr_BTC-USD_SLV,30,stress_SLV,AR1,RF_Cls,0.8299473288186606,0.5160602578833141,0.3,0.05714285714285714,0.096,0.5308693986978169,0.030097817908201655,-0.003399597767857282,0.0012049691859188376,1329
corr_BTC-USD_SLV,30,stress_SLV,AR1,GBM_Cls,0.8314522197140707,0.4995467892250734,0.15,0.014285714285714285,0.02608695652173913,0.5033107791820928,0.015048908954100828,0.004317002465609986,0.00101671605853544,1329
corr_BTC-USD_SLV,60,stress_SLV,AR1,Logit,0.6558891454965358,0.503440977643799,0.15877437325905291,0.28217821782178215,0.20320855614973263,0.5178705199599267,0.2763664357197845,0.0014746028210687024,0.0010786442258281335,1299
corr_BTC-USD_SLV,60,stress_SLV,AR1,GBM_Cls,0.8344880677444187,0.5041720443694324,0.21739130434782608,0.024752475247524754,0.044444444444444446,0.5075949709829688,0.01770592763664357,0.0018707419186586305,0.0011757687467969916,1299
corr_BTC-USD_SLV,60,stress_SLV,AR1,RF_Cls,0.8329484218629715,0.49922154931992746,0.14285714285714285,0.01485148514851485,0.026905829596412557,0.5313997671417097,0.016166281755196306,0.000856715042188643,0.0011935187552082535,1299
corr_BTC-USD_SLV,90,stress_SLV,AR1,Logit,0.6627265563435776,0.5078940667175961,0.16374269005847952,0.2828282828282828,0.2074074074074074,0.5142932593912986,0.2695035460992908,0.0015653170837730864,0.0009697419976450719,1269
corr_BTC-USD_SLV,90,stress_SLV,AR1,RF_Cls,0.8384554767533491,0.4987904252610135,0.1111111111111111,0.005050505050505051,0.00966183574879227,0.5149911816578483,0.0070921985815602835,-0.0036920290297476222,0.0011646964569326235,1269
corr_BTC-USD_SLV,90,stress_SLV,AR1,GBM_Cls,0.8297872340425532,0.49159663865546216,0.0,0.0,0.0,0.5284026068339793,0.014184397163120567,0.011549682310686022,0.0009803317289168892,1269
corr_BTC-USD_UUP,14,stress_UUP,AR1,Logit,0.6223048327137547,0.5046462154104091,0.17209302325581396,0.3274336283185841,0.22560975609756098,0.5228751967227375,0.31970260223048325,0.00012622232029689488,0.000100432616021485,1345
